Width,Height,MaxIter,BlockX,BlockY,GridX,GridY,Time
2400,2400,10000,16,1,150,2400,6.987994
2400,2400,10000,16,16,150,150,3.550101
2400,2400,10000,16,32,150,75,3.548686
2400,2400,10000,16,48,150,50,3.551204
2400,2400,10000,16,64,150,37,3.606298
2400,2400,10000,32,1,75,2400,3.779193
2400,2400,10000,32,16,75,150,3.697737
2400,2400,10000,32,32,75,75,3.760219
2400,2400,10000,48,1,50,2400,4.933457
2400,2400,10000,48,16,50,150,3.743868
2400,2400,10000,64,1,37,2400,3.808112
2400,2400,10000,64,16,37,150,4.004270
2400,2400,10000,80,1,30,2400,4.369448
2400,2400,10000,96,1,25,2400,3.734058
2400,2400,10000,112,1,21,2400,4.255427
2400,2400,10000,128,1,18,2400,3.784628
2400,2400,10000,144,1,16,2400,4.035143
2400,2400,10000,160,1,15,2400,3.718836
2400,2400,10000,176,1,13,2400,4.060487
2400,2400,10000,192,1,12,2400,3.771914
2400,2400,10000,208,1,11,2400,3.913408
2400,2400,10000,224,1,10,2400,3.647721
2400,2400,10000,240,1,10,2400,3.997648
2400,2400,10000,256,1,9,2400,3.768177
2400,2400,10000,272,1,8,2400,3.766980
2400,2400,10000,288,1,8,2400,3.680362
2400,2400,10000,304,1,7,2400,3.851382
2400,2400,10000,320,1,7,2400,3.749851
2400,2400,10000,336,1,7,2400,3.860598
2400,2400,10000,352,1,6,2400,3.597603
2400,2400,10000,368,1,6,2400,3.854386
2400,2400,10000,384,1,6,2400,3.770334
2400,2400,10000,400,1,6,2400,3.845626
2400,2400,10000,416,1,5,2400,3.599046
2400,2400,10000,432,1,5,2400,3.799977
2400,2400,10000,448,1,5,2400,3.750600
2400,2400,10000,464,1,5,2400,3.811464
2400,2400,10000,480,1,5,2400,3.743376
2400,2400,10000,496,1,4,2400,3.713727
2400,2400,10000,512,1,4,2400,3.661730
2400,2400,10000,528,1,4,2400,3.719633
2400,2400,10000,544,1,4,2400,3.642473
2400,2400,10000,560,1,4,2400,3.784198
2400,2400,10000,576,1,4,2400,3.782253
2400,2400,10000,592,1,4,2400,3.777070
2400,2400,10000,608,1,3,2400,3.459546
2400,2400,10000,624,1,3,2400,3.635942
2400,2400,10000,640,1,3,2400,3.599231
2400,2400,10000,656,1,3,2400,3.619664
2400,2400,10000,672,1,3,2400,3.555434
2400,2400,10000,688,1,3,2400,3.749772
2400,2400,10000,704,1,3,2400,3.700980
2400,2400,10000,720,1,3,2400,3.743488
2400,2400,10000,736,1,3,2400,3.663355
ERROR: Image is not valid for settings (2400,2400,10000,736,208,3,11).
ERROR: Image is not valid for settings (2400,2400,10000,736,224,3,10).
ERROR: Image is not valid for settings (2400,2400,10000,736,240,3,10).
ERROR: Image is not valid for settings (2400,2400,10000,736,256,3,9).
ERROR: Image is not valid for settings (2400,2400,10000,736,272,3,8).
ERROR: Image is not valid for settings (2400,2400,10000,736,288,3,8).
ERROR: Image is not valid for settings (2400,2400,10000,736,304,3,7).
ERROR: Image is not valid for settings (2400,2400,10000,736,320,3,7).
ERROR: Image is not valid for settings (2400,2400,10000,736,336,3,7).
ERROR: Image is not valid for settings (2400,2400,10000,736,352,3,6).
ERROR: Image is not valid for settings (2400,2400,10000,736,368,3,6).
ERROR: Image is not valid for settings (2400,2400,10000,736,384,3,6).
ERROR: Image is not valid for settings (2400,2400,10000,736,400,3,6).
ERROR: Image is not valid for settings (2400,2400,10000,736,416,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,736,432,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,736,448,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,736,464,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,736,480,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,736,496,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,736,512,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,736,528,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,736,544,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,736,560,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,736,576,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,736,592,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,736,608,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,736,624,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,736,640,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,736,656,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,736,672,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,736,688,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,736,704,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,736,720,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,736,736,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,736,752,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,736,768,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,736,784,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,736,800,3,3).
